NMSPcurrent,District,Zone,Region,Strata,Strata_withoutUrban,NMSPcurrent.withCM,NMSPcurrent.withCM_noITNinLow,NMSPcurrent_label,NMSPcurrent.withCM_label,NMSPcurrent.withCM_noITNinLow_label,revNMSP3a_adj,revNMSP3b_adj_withIPTsc,revNMSP4a_adj_CMall,revNMSP4b_adj_CMall_withIPTsc,revNMSP4c_adj_CMall_withIPTsc_LARVurbanOnly,revNMSP4d_adj_CMall_withIPTsc_MDA_noLARV_inVeryLow,revNMSP7a_adj_VConly,revNMSP7b_adj_VConly_withIPTsc,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow,revNMSP8a_new_IPTscHighOnly_SMCmoderat_noLSM,revNMSP8b_new_IPTscHighOnly_SMCmoderat_noLSM_withMDAinvlow,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM,revNMSP3a_adj_label,revNMSP3b_adj_withIPTsc_label,revNMSP4a_adj_CMall_label,revNMSP4b_adj_CMall_withIPTsc_label,revNMSP4c_adj_CMall_withIPTsc_LARVurbanOnly_label,revNMSP4d_adj_CMall_withIPTsc_MDA_noLARV_inVeryLow_label,revNMSP7a_adj_VConly_label,revNMSP7b_adj_VConly_withIPTsc_label,revNMSP7c_adj_VConly_withIPTsc_LARVurbanOnly_label,revNMSP7d_adj_VConly_withIPTsc_MDA_noLARV_inVeryLow_label,revNMSP8a_new_IPTscHighOnly_SMCmoderat_noLSM_label,revNMSP8b_new_IPTscHighOnly_SMCmoderat_noLSM_withMDAinvlow_label,revNMSP9a_noCM_new_IPTscHighOnly_SMCmoderat_noLSM_label
13,Dodoma Urban,Central,Dodoma,urban,low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,49,49,49,49,49,49,19,19,19,19,51,51,21,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous
13,Moshi Urban,Northern,Kilimanjaro,urban,low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,49,49,49,49,49,49,19,19,19,19,51,51,21,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous
13,Temeke,Eastern,Daressalaam,urban,low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,49,49,49,49,49,49,19,19,19,19,51,51,21,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous
13,Kinondoni,Eastern,Daressalaam,urban,low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,49,49,49,49,49,49,19,19,19,19,51,51,21,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous
13,Singida Urban,Central,Singida,urban,very low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,31,31,31,31,31,31,1,1,1,1,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,LARV,LARV,LARV,LARV,increase in CM,increase in CM-MDA,no increase in CM
13,Iringa Urban,Southern Highlands,Iringa,urban,low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,49,49,49,49,49,49,19,19,19,19,51,51,21,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous
13,Tanga Urban,Northern,Tanga,urban,moderate,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,55,55,55,55,55,55,25,25,25,25,91,91,83,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,increase in CM - ITN MRC continuous,increase in CM - ITN MRC continuous,ITN MRC continuous
13,Ilala,Eastern,Daressalaam,urban,low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,49,49,49,49,49,49,19,19,19,19,51,51,21,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous
13,Sumbawanga Urban,Southwest Highlands,Rukwa,urban,low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,49,49,49,49,49,49,19,19,19,19,51,51,21,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,increase in CM - ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,ITN continuous-LARV,increase in CM - ITN continuous,increase in CM - ITN continuous,ITN continuous
13,Arusha Urban,Northern,Arusha,urban,very low,43,43,ITN MRC-LARV,increase in CM - ITN MRC-LARV,increase in CM - ITN MRC-LARV,31,31,31,31,31,31,1,1,1,1,33,32,3,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,increase in CM-LARV,LARV,LARV,LARV,LARV,increase in CM,increase in CM-MDA,no increase in CM
