Strategy_FutScen_nr,District,Zone,Region,Strata,Strata_withoutUrban,Strategy,FutScen_label
13,Dodoma Urban,Central,Dodoma,urban,low,NMSPcurrent,ITN MRC-LARV
13,Temeke,Eastern,Daressalaam,urban,low,NMSPcurrent,ITN MRC-LARV
13,Moshi Urban,Northern,Kilimanjaro,urban,low,NMSPcurrent,ITN MRC-LARV
13,Ilala,Eastern,Daressalaam,urban,low,NMSPcurrent,ITN MRC-LARV
13,Singida Urban,Central,Singida,urban,very low,NMSPcurrent,ITN MRC-LARV
13,Kinondoni,Eastern,Daressalaam,urban,low,NMSPcurrent,ITN MRC-LARV
13,Tanga Urban,Northern,Tanga,urban,moderate,NMSPcurrent,ITN MRC-LARV
13,Kigamboni,Eastern,Daressalaam,urban,moderate,NMSPcurrent,ITN MRC-LARV
13,Sumbawanga Urban,Southwest Highlands,Rukwa,urban,low,NMSPcurrent,ITN MRC-LARV
13,Iringa Urban,Southern Highlands,Iringa,urban,low,NMSPcurrent,ITN MRC-LARV
13,Mbeya Urban,Southwest Highlands,Mbeya,low,low,NMSPcurrent,ITN MRC-LARV
13,Arusha Urban,Northern,Arusha,urban,very low,NMSPcurrent,ITN MRC-LARV
13,Ubungo MC,Eastern,Daressalaam,urban,low,NMSPcurrent,ITN MRC-LARV
15,Arusha,Northern,Arusha,very low,very low,NMSPcurrent,ITN MRC
15,Lushoto,Northern,Tanga,low,low,NMSPcurrent,ITN MRC
15,Babati,Central,Manyara,very low,very low,NMSPcurrent,ITN MRC
15,Babati Urban,Central,Manyara,very low,very low,NMSPcurrent,ITN MRC
15,Songwe,Southwest Highlands,Songwe,moderate,moderate,NMSPcurrent,ITN MRC
15,Bahi,Central,Dodoma,moderate,moderate,NMSPcurrent,ITN MRC
15,Kalambo,Southwest Highlands,Rukwa,moderate,moderate,NMSPcurrent,ITN MRC
15,Makete,Southern Highlands,Njombe,very low,very low,NMSPcurrent,ITN MRC
15,Mwanga,Northern,Kilimanjaro,very low,very low,NMSPcurrent,ITN MRC
15,Karatu,Northern,Arusha,very low,very low,NMSPcurrent,ITN MRC
15,Chemba,Central,Dodoma,low,low,NMSPcurrent,ITN MRC
15,Chunya,Southwest Highlands,Mbeya,moderate,moderate,NMSPcurrent,ITN MRC
15,Siha,Northern,Kilimanjaro,very low,very low,NMSPcurrent,ITN MRC
15,Tunduma,Southwest Highlands,Songwe,very low,very low,NMSPcurrent,ITN MRC
15,Bumbuli,Northern,Tanga,very low,very low,NMSPcurrent,ITN MRC
15,Kondoa,Central,Dodoma,low,low,NMSPcurrent,ITN MRC
15,Ngorongoro,Northern,Arusha,very low,very low,NMSPcurrent,ITN MRC
15,Njombe,Southern Highlands,Njombe,low,low,NMSPcurrent,ITN MRC
15,Busokelo,Southwest Highlands,Mbeya,high,high,NMSPcurrent,ITN MRC
15,Nkasi,Southwest Highlands,Rukwa,moderate,moderate,NMSPcurrent,ITN MRC
15,Kilolo,Southern Highlands,Iringa,low,low,NMSPcurrent,ITN MRC
15,Chamwino,Central,Dodoma,low,low,NMSPcurrent,ITN MRC
15,Wanging'ombe,Southern Highlands,Njombe,very low,very low,NMSPcurrent,ITN MRC
15,Manyoni,Central,Singida,low,low,NMSPcurrent,ITN MRC
15,Ileje,Southwest Highlands,Songwe,low,low,NMSPcurrent,ITN MRC
15,Hai,Northern,Kilimanjaro,very low,very low,NMSPcurrent,ITN MRC
15,Pangani,Northern,Tanga,moderate,moderate,NMSPcurrent,ITN MRC
15,Rombo,Northern,Kilimanjaro,very low,very low,NMSPcurrent,ITN MRC
15,Singida,Central,Singida,very low,very low,NMSPcurrent,ITN MRC
15,Same,Northern,Kilimanjaro,low,low,NMSPcurrent,ITN MRC
15,Hanang,Central,Manyara,very low,very low,NMSPcurrent,ITN MRC
15,Handeni,Northern,Tanga,high,high,NMSPcurrent,ITN MRC
15,Handeni Mjini,Northern,Tanga,high,high,NMSPcurrent,ITN MRC
15,Meru,Northern,Arusha,very low,very low,NMSPcurrent,ITN MRC
15,Kyela,Southwest Highlands,Mbeya,moderate,moderate,NMSPcurrent,ITN MRC
15,Ikungi,Central,Singida,low,low,NMSPcurrent,ITN MRC
15,Iringa,Southern Highlands,Iringa,low,low,NMSPcurrent,ITN MRC
15,Mbeya,Southwest Highlands,Mbeya,urban,low,NMSPcurrent,ITN MRC
15,Itigi,Central,Singida,moderate,moderate,NMSPcurrent,ITN MRC
15,Iramba,Central,Singida,low,low,NMSPcurrent,ITN MRC
15,Mafinga Township Authority,Southern Highlands,Iringa,very low,very low,NMSPcurrent,ITN MRC
15,Sumbawanga,Southwest Highlands,Rukwa,low,low,NMSPcurrent,ITN MRC
15,Makambako Township Authority,Southern Highlands,Njombe,very low,very low,NMSPcurrent,ITN MRC
15,Mufindi,Southern Highlands,Iringa,low,low,NMSPcurrent,ITN MRC
15,Mbulu TC,Central,Manyara,very low,very low,NMSPcurrent,ITN MRC
15,Mbarali,Southwest Highlands,Mbeya,low,low,NMSPcurrent,ITN MRC
15,Kiteto,Central,Manyara,low,low,NMSPcurrent,ITN MRC
15,Mbulu,Central,Manyara,very low,very low,NMSPcurrent,ITN MRC
