Region,District,Council
Arusha,Arusha,Arusha DC
Arusha,Arusha Urban,Arusha CC
Arusha,Karatu,Karatu DC
Arusha,Longido,Longido DC
Arusha,Meru,Meru DC
Arusha,Monduli,Monduli DC
Arusha,Ngorongoro,Ngorongoro DC
Daressalaam,Ilala,Ilala MC
Daressalaam,Kigamboni,Kigamboni MC
Daressalaam,Kinondoni,Kinondoni MC
Daressalaam,Temeke,Temeke MC
Daressalaam,Ubungo MC,Ubungo MC
Dodoma,Bahi,Bahi DC
Dodoma,Chamwino,Chamwino DC
Dodoma,Chemba,Chemba DC
Dodoma,Dodoma Urban,Dodoma MC
Dodoma,Kondoa,Kondoa DC
Dodoma,Kondoa TC,Kondoa TC
Dodoma,Kongwa,Kongwa DC
Dodoma,Mpwapwa,Mpwapwa DC
Geita,Bukombe,Bukombe DC
Geita,Chato,Chato DC
Geita,Geita,Geita DC
Geita,Geita Town,Geita TC
Geita,Mbogwe,Mbogwe DC
Geita,Nyang'wale,Nyang'hwale DC
Iringa,Iringa,Iringa DC
Iringa,Iringa Urban,Iringa MC
Iringa,Kilolo,Kilolo DC
Iringa,Mafinga Township Authority,Mafinga TC
Iringa,Mufindi,Mufindi DC
Kagera,Biharamulo,Biharamulo DC
Kagera,Bukoba,Bukoba DC
Kagera,Bukoba Urban,Bukoba MC
Kagera,Karagwe,Karagwe DC
Kagera,Kyerwa,Kyerwa DC
Kagera,Missenyi,Missenyi DC
Kagera,Muleba,Muleba DC
Kagera,Ngara,Ngara DC
Katavi,Mlele,Mlele DC
Katavi,Mpanda,Mpanda DC
Katavi,Mpanda Urban,Mpanda MC
Katavi,Mpimbwe,Mpimbwe DC
Katavi,Nsimbo,Nsimbo DC
Kigoma,Buhigwe,Buhigwe DC
Kigoma,Kakonko,Kakonko DC
Kigoma,Kasulu,Kasulu DC
Kigoma,Kasulu Township Authority,Kasulu TC
Kigoma,Kibondo,Kibondo DC
Kigoma,Kigoma,Kigoma DC
Kigoma,Kigoma Urban,Kigoma MC
Kigoma,Uvinza,Uvinza DC
Kilimanjaro,Hai,Hai DC
Kilimanjaro,Moshi,Moshi DC
Kilimanjaro,Moshi Urban,Moshi MC
Kilimanjaro,Mwanga,Mwanga DC
Kilimanjaro,Rombo,Rombo DC
Kilimanjaro,Same,Same DC
Kilimanjaro,Siha,Siha DC
Lindi,Kilwa,Kilwa DC
Lindi,Lindi,Lindi DC
Lindi,Lindi Urban,Lindi MC
Lindi,Liwale,Liwale DC
Lindi,Nachingwea,Nachingwea DC
Lindi,Ruangwa,Ruangwa DC
Manyara,Babati,Babati DC
Manyara,Babati Urban,Babati TC
Manyara,Hanang,Hanang DC
Manyara,Kiteto,Kiteto DC
Manyara,Mbulu,Mbulu DC
Manyara,Mbulu TC,Mbulu TC
Manyara,Simanjiro,Simanjiro DC
Mara,Bunda DC,Bunda DC
Mara,Bunda TC,Bunda TC
Mara,Butiama,Butiama DC
Mara,Musoma,Musoma DC
Mara,Musoma Urban,Musoma MC
Mara,Rorya,Rorya DC
Mara,Serengeti,Serengeti DC
Mara,Tarime,Tarime DC
Mara,Tarime TC,Tarime TC
Mbeya,Busokelo,Busokelo DC
Mbeya,Chunya,Chunya DC
Mbeya,Kyela,Kyela DC
Mbeya,Mbarali,Mbarali DC
Mbeya,Mbeya,Mbeya DC
Mbeya,Mbeya Urban,Mbeya CC
Mbeya,Rungwe,Rungwe DC
Morogoro,Gairo,Gairo DC
Morogoro,Ifakara,Ifakara TC
Morogoro,Kilombero,Kilombero DC
Morogoro,Kilosa,Kilosa DC
Morogoro,Malinyi,Malinyi DC
Morogoro,Morogoro,Morogoro DC
Morogoro,Morogoro Urban,Morogoro MC
Morogoro,Mvomero,Mvomero DC
Morogoro,Ulanga,Ulanga DC
Mtwara,Masasi,Masasi DC
Mtwara,Masasi Township Authority,Masasi TC
Mtwara,Mtwara DC,Mtwara DC
Mtwara,Mtwara Urban,Mtwara MC
Mtwara,Nanyamba TC,Nanyamba TC
Mtwara,Nanyumbu,Nanyumbu DC
Mtwara,Newala DC,Newala DC
Mtwara,Newala TC,Newala TC
Mtwara,Tandahimba,Tandahimba DC
